Gene_ID,Transcript_ID,Average Oocyte(RPKM),Average Zygote(RPKM),Average 2-cell embryo(RPKM),Average 4-cell embryo(RPKM),Average 8-cell embryo(RPKM),Average Morulae(RPKM),Average Trophectoderm(RPKM),Average Primitive endoderm(RPKM),Average epiblast(RPKM),Average hESC passage#0(RPKM),Average hESC passage#10(RPKM)
ZNF434,"NM_017810, ",3.354,1.926,1.233,2.87,26.423,14.54,1.495,2.127,5.844,3.512,5.034
MUSK,"NM_001166280, NM_001166281, NM_005592, ",0.0,0.0,0.021,0.013,0.0,0.02,0.0,0.0,0.0,0.0,0.0
EPDR1,"NM_017549, ",0.0,0.0,0.0,0.0,0.13,0.212,0.0,0.0,0.0,3.448,4.598
SMARCD1,"NM_003076, NM_139071, ",5.078,10.074,5.479,13.048,6.403,1.106,1.524,0.907,0.32,4.611,2.62
SH3RF3,"NM_001099289, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.0,0.0,0.084
ZNF347,"NM_001172674, NM_001172675, NM_032584, ",2.437,1.115,1.333,1.329,3.727,7.109,3.76,1.401,1.59,4.787,4.256
ZFP106,"NM_022473, ",24.332,18.948,12.825,18.677,15.417,48.453,37.247,30.828,35.699,31.056,23.295
FAM75A1,"NM_001085452, NM_001085452, ",0.0,0.0,0.0,0.018,0.038,0.0,0.0,0.0,0.0,0.0,0.0
GTF2E1,"NM_005513, ",20.161,22.928,13.555,16.674,13.655,9.994,7.446,8.896,4.423,11.197,11.747
ATAD2B,"NM_017552, ",4.993,5.903,4.214,4.343,5.757,4.094,3.66,0.169,6.656,5.05,2.096
C4orf44,"NM_001042690, ",0.0,0.064,0.113,0.128,0.191,0.009,0.0,0.0,0.0,0.0,0.0
ARHGAP17,"NM_001006634, NM_018054, ",31.911,27.767,20.045,40.019,8.307,1.646,3.421,9.242,3.908,12.045,9.493
KCNIP3,"NM_001034914, NM_013434, ",0.0,0.0,0.0,0.078,0.0,0.007,0.0,0.0,0.0,0.0,0.011
SFPQ,"NM_005066, ",32.615,25.691,22.542,32.379,89.872,79.373,142.813,64.695,86.34,130.331,117.089
PRSS54,"NM_001080492, ",0.0,0.201,0.086,0.447,0.176,0.672,0.008,0.0,0.0,0.37,0.066
TIGD6,"NM_030953, ",0.24,1.359,0.99,1.918,1.961,1.217,0.0,0.025,0.28,0.163,0.556
AKR1B10,"NM_020299, ",0.251,0.811,0.364,0.975,1.694,0.464,0.157,0.0,0.182,0.151,0.042
RGS16,"NM_002928, ",31.817,17.294,27.79,31.45,5.968,5.531,2.392,1.107,26.057,8.793,13.957
URB1,"NM_014825, ",0.522,0.446,0.468,0.642,9.331,4.815,2.971,0.676,1.136,3.27,3.22
TCEB3CL,"NM_001100817, NM_001100817, NM_001100817, ",0.0,0.055,0.161,1.135,0.074,0.226,0.0,0.0,0.0,0.0,0.0
RTL1,"NM_001134888, ",0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.508,0.0,0.345
TOP3B,"NM_003935, ",0.641,3.566,1.394,4.932,0.948,2.505,3.866,7.423,2.551,14.199,5.824
NFATC4,"NM_001136022, NM_004554, ",0.0,0.0,0.0,0.018,0.0,0.022,0.0,0.473,0.0,1.014,2.641
GVIN1,"NR_003945, ",0.372,0.302,0.271,1.134,0.182,0.28,0.147,0.0,0.054,0.014,0.004
LOC728323,"NR_024437, ",31.859,75.723,115.291,138.856,16.924,2.15,2.428,0.054,4.054,0.164,0.847
CA14,"NM_012113, ",1.904,1.933,1.286,2.306,0.072,0.464,0.0,0.0,0.0,10.291,18.75
BMPR1A,"NM_004329, ",10.634,21.43,13.098,24.446,10.464,6.859,22.552,6.8,8.407,27.686,12.313
PRL,"NM_000948, NM_001163558, ",0.853,1.307,1.003,0.339,0.861,0.0,0.0,0.0,0.0,0.0,0.0
C6orf130,"NM_145063, ",105.879,72.509,56.789,59.082,73.298,85.478,53.931,25.219,58.591,74.679,56.587
STAG2,"NM_001042749, NM_001042750, NM_001042751, NM_006603, ",0.0,0.0,0.0,0.053,23.054,17.876,11.274,10.852,13.961,17.784,12.847
LRTOMT,"NM_001145307, NM_001145308, NM_001145309, NM_001145310, NM_145309, NR_026886, ",2.516,4.948,3.88,6.578,8.249,7.999,3.76,3.22,4.033,7.609,11.992
LOC646813,"NR_024504, ",0.0,0.0,0.0,0.0,0.069,0.022,0.0,0.0,0.0,0.0,0.0
SCARNA9,"NR_002569, ",0.0,2.113,3.759,0.0,0.157,0.08,0.014,0.0,0.0,0.0,0.0
CD55,"NM_000574, NM_001114752, ",32.96,33.566,24.448,22.995,4.373,3.839,119.339,39.629,33.902,7.554,7.949
RPS23,"NM_001025, ",146.748,161.923,258.359,481.846,559.692,468.125,364.498,613.719,552.431,356.828,595.132
SSX2,"NM_003147, NM_003147, NM_175698, NM_175698, ",0.0,0.0,0.0,0.493,70.128,68.816,6.314,1.22,0.463,0.662,0.01
SNORD15A,"NR_000005, ",0.0,0.0,0.092,0.0,0.544,1.057,0.024,0.142,0.0,0.093,0.0
FDPSL2A,"NR_003262, ",0.183,0.191,0.286,0.338,1.009,1.665,1.407,0.182,3.769,1.775,1.99
FBXO27,"NM_178820, ",78.753,65.899,61.726,46.044,6.531,11.922,1.094,1.106,6.822,9.908,9.257
SYNGR3,"NM_004209, ",2.551,5.814,4.012,4.22,2.822,3.728,4.254,1.187,2.211,13.161,6.013
TMSL3,"NM_183049, NM_183049, ",476.575,147.031,375.544,323.686,225.02,40.987,32.557,182.936,124.874,67.234,161.294
EML1,"NM_001008707, NM_004434, ",2.202,5.511,3.155,9.446,2.544,0.127,0.0,0.196,0.0,7.603,7.11
C6orf103,"NM_024694, ",0.197,1.044,0.717,0.131,0.082,0.057,0.0,0.0,0.0,0.0,0.0
SMAD3,"NM_001145102, NM_001145103, NM_001145104, NM_005902, ",7.879,8.053,9.28,6.947,0.775,0.202,0.0,0.475,0.269,2.023,2.951
NUP93,"NM_014669, ",49.257,28.494,25.164,51.739,14.801,4.015,25.556,21.514,27.679,36.045,43.311
LOC148189,"NR_027301, ",1.341,0.578,0.242,0.676,3.824,2.453,3.794,6.194,0.357,1.12,2.246
C14orf182,"NM_001012706, ",0.0,0.0,0.0,0.042,0.082,0.32,1.139,0.298,0.105,0.025,0.03
TBC1D12,"NM_015188, ",2.004,1.863,0.972,1.342,7.573,4.273,1.814,2.084,0.398,0.336,0.484
MRVI1,"NM_001098579, NM_001100163, NM_001100167, NM_130385, ",3.49,8.87,6.19,8.937,1.369,0.282,0.075,0.042,0.0,0.301,0.511
ZNF581,"NM_016535, ",22.749,24.753,17.744,50.839,149.88,360.394,101.751,163.738,123.543,49.466,116.986
CDK12,"NM_015083, NM_016507, ",30.771,59.198,42.148,32.203,16.208,17.892,9.059,2.224,9.726,13.147,7.795
ELOVL3,"NM_152310, ",19.753,10.42,9.834,33.594,20.354,18.009,1.315,1.404,0.0,0.0,0.0
OR51Q1,"NM_001004757, ",0.0,0.296,0.04,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACNB3,"NM_000725, ",0.043,0.243,0.23,0.836,12.347,17.37,0.278,4.728,12.968,1.031,2.815
GALNT13,"NM_052917, ",2.295,2.65,1.656,4.323,1.745,0.826,0.0,0.0,0.156,0.639,1.266
C10orf84,"NM_001134672, NM_022063, ",11.644,17.159,14.584,17.47,16.712,16.688,13.303,11.579,12.889,27.031,12.371
SPO11,"NM_012444, NM_198265, ",0.448,0.338,0.159,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0
NEDD4,"NM_006154, NM_198400, ",0.816,0.514,0.192,0.457,1.755,2.804,0.412,0.2,0.418,0.111,0.487
NEK4,"NM_001193533, NM_003157, ",6.064,18.975,11.314,20.529,6.759,3.991,7.139,5.67,8.257,10.909,7.32
PRKAR2A,"NM_004157, ",53.063,44.309,29.872,36.482,14.73,9.292,2.96,4.888,4.531,3.139,2.064
ATP6V0B,"NM_001039457, NM_004047, ",197.585,71.447,91.886,137.575,68.072,84.613,401.615,287.688,170.172,159.22,207.736
CACNA1E,"NM_000721, ",0.931,1.097,0.925,1.177,0.283,0.059,0.0,0.0,0.0,0.0,0.325
CEACAM8,"NM_001816, ",0.083,0.162,0.23,0.165,0.487,0.704,0.837,0.068,0.381,0.444,0.608
SKP1,"NM_006930, NM_170679, ",280.559,198.246,220.766,101.906,58.006,57.653,86.707,108.34,99.357,111.947,87.913
PEX14,"NM_004565, ",1.663,9.661,9.492,13.426,4.391,1.551,1.639,4.269,0.437,0.907,2.325
ZBTB38,"NM_001080412, ",16.235,8.225,5.888,8.868,2.271,0.662,0.828,0.0,0.913,0.934,1.726
LOC100130894,"NR_034083, ",0.188,0.036,0.042,0.0,1.683,3.879,0.017,0.0,0.0,0.444,0.08
FYCO1,"NM_024513, ",0.58,0.693,0.78,1.238,0.109,0.507,0.105,0.25,0.0,1.17,0.56
FBLIM1,"NM_001024215, NM_001024216, NM_017556, ",2.516,2.721,3.402,2.143,5.15,7.986,3.304,1.701,4.396,19.3,23.706
CMTM1,"NM_052999, NM_181268, NM_181269, NM_181270, NM_181271, NM_181272, NM_181283, NM_181296, ",0.0,0.043,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.004
RAPH1,"NM_203365, NM_213589, ",2.221,3.964,2.729,4.988,15.41,4.328,1.961,0.703,2.569,2.013,1.724
PLTP,"NM_006227, NM_182676, ",0.0,0.061,0.0,0.0,0.685,2.528,12.964,28.853,38.164,26.66,22.962
C20orf201,"NM_001007125, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0
MINK1,"NM_001024937, NM_015716, NM_153827, NM_170663, ",1.266,2.538,2.631,5.966,1.223,1.204,1.59,2.044,0.109,2.319,2.228
SLC25A1,"NM_005984, NR_033687, ",2.349,6.783,5.37,10.856,6.001,8.099,40.593,96.386,21.042,28.92,38.162
EZH2,"NM_004456, NM_152998, ",8.7,7.567,3.937,5.865,57.963,50.457,25.257,12.313,25.23,31.86,31.619
DOCK8,"NM_001190458, NM_001193536, NM_203447, ",0.263,0.451,0.165,1.378,0.052,0.006,0.703,0.0,0.0,0.0,0.102
PLEKHB1,"NM_001130033, NM_001130034, NM_001130035, NM_001130036, NM_021200, ",7.721,20.617,16.964,30.239,10.455,11.787,1.193,0.0,0.0,2.129,3.634
GRB7,"NM_001030002, NM_005310, ",348.331,207.008,272.232,251.884,9.91,3.597,6.257,12.425,37.245,27.692,24.68
ZFP37,"NM_003408, ",0.333,0.902,0.497,0.063,6.728,1.723,0.143,0.0,0.021,0.0,0.25
MRPL33,"NM_004891, NM_145330, ",4.927,13.378,13.8,4.703,3.085,14.443,49.658,66.561,27.426,21.588,34.537
SNORA21,"NR_002576, ",0.0,0.17,1.165,0.311,1.533,1.912,0.401,0.195,6.175,0.811,0.252
RNASEK,"NM_001004333, ",31.196,20.006,19.988,35.045,16.195,60.41,85.473,137.349,95.35,105.627,163.334
PELO,"NM_015946, ",23.777,16.035,13.864,19.693,11.467,14.4,5.834,19.943,12.269,30.779,29.794
C9orf27,"NR_024032, ",0.0,0.145,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMC1,"NM_018120, ",253.404,293.601,260.979,134.783,136.357,89.088,59.16,38.437,40.356,22.722,17.955
C9orf37,"NM_032937, ",2.416,1.526,1.341,2.68,6.825,12.325,2.717,6.381,0.858,11.87,9.104
TMEM66,"NM_016127, ",15.977,25.138,19.576,14.164,139.191,143.608,79.948,63.427,83.284,116.133,91.154
SPRN,"NM_001012508, ",0.0,0.072,0.0,0.365,0.411,1.758,0.698,1.369,0.642,0.337,0.241
HBEGF,"NM_001945, ",0.497,0.389,0.12,0.746,11.507,18.416,0.294,0.427,0.15,9.948,2.657
PI4KA,"NM_002650, NM_058004, ",0.276,0.614,0.218,1.044,1.628,2.659,5.362,7.792,3.372,2.473,3.859
MT1IP,"NR_003669, ",0.0,0.132,0.078,0.117,0.157,0.51,0.644,0.017,0.56,0.696,0.166
POU2AF1,"NM_006235, ",0.383,0.608,0.631,1.441,1.17,1.583,0.97,0.208,0.734,1.52,1.235
LEPRE1,"NM_001146289, NM_022356, ",1.011,1.995,0.928,2.464,2.572,4.658,3.544,16.636,15.028,13.663,16.657
MRPL12,"NM_002949, ",1.015,1.812,0.75,1.612,113.952,297.695,350.607,387.36,312.368,193.455,265.928
