Gene_ID,Transcript_ID,Average Oocyte(RPKM),Average Zygote(RPKM),Average 2-cell embryo(RPKM),Average 4-cell embryo(RPKM),Average 8-cell embryo(RPKM),Average Morulae(RPKM),Average Trophectoderm(RPKM),Average Primitive endoderm(RPKM),Average epiblast(RPKM),Average hESC passage#0(RPKM),Average hESC passage#10(RPKM)
SMYD3,"NM_001167740, NM_022743, ",15.389,12.689,7.016,21.048,6.771,17.961,2.531,17.63,3.277,11.283,11.62
RRN3P2,"NR_003369, ",1.049,2.947,1.244,2.473,10.154,1.817,0.299,0.688,0.397,1.729,2.124
LGI2,"NM_018176, ",0.643,1.212,0.642,0.473,0.367,0.065,0.0,0.607,0.0,3.758,2.039
WDR45,"NM_001029896, NM_007075, ",2.177,3.261,2.77,7.096,225.964,257.141,27.767,29.591,18.979,20.056,29.934
ANKRD6,"NM_014942, ",12.156,20.86,14.74,36.191,9.062,2.276,3.03,4.905,1.143,0.101,0.737
SHROOM1,"NM_001172700, NM_133456, ",0.637,1.072,1.193,0.97,2.643,4.641,1.745,1.052,1.342,3.899,3.857
CIDECP,"NR_002786, ",18.714,7.885,9.825,25.866,25.015,35.941,5.264,0.716,11.293,0.985,9.753
PYY,"NM_004160, ",0.0,0.0,0.042,0.079,0.207,1.501,0.036,0.0,0.0,1.269,0.215
KCNC1,"NM_001112741, NM_004976, ",0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGEF9,"NM_001173479, NM_001173480, NM_015185, ",3.702,4.144,3.909,5.366,1.049,0.03,0.065,0.04,0.0,4.542,4.145
GPR55,"NM_005683, ",0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWA5A,"NM_001130142, NM_014622, NM_198315, ",18.255,29.235,23.227,41.058,5.193,2.397,0.29,0.678,2.973,2.521,3.383
C2CD3,"NM_015531, ",1.261,1.364,0.952,3.351,1.512,0.337,0.395,0.0,0.0,0.502,0.928
CNPY4,"NM_152755, ",0.478,0.411,0.525,2.547,37.951,20.622,0.306,0.0,0.104,4.266,1.776
NAT8L,"NM_178557, ",0.055,0.207,0.21,0.152,0.0,0.26,0.0,0.0,0.0,0.413,0.92
LOC100132741,"NR_034004, ",0.072,0.0,0.156,0.0,0.0,0.0,0.062,0.0,0.0,0.112,0.0
DUSP4,"NM_001394, NM_057158, ",0.0,0.042,0.019,0.099,3.098,3.969,2.242,1.458,3.626,1.645,1.419
LOC96610,"NR_027293, ",1.837,3.934,2.969,3.678,3.437,13.676,5.229,6.696,6.32,1.85,1.868
LOC80054,"NR_026887, ",0.0,0.0,0.0,0.068,0.0,0.234,1.262,0.0,0.0,2.379,0.542
TTTY20,"NR_001546, ",0.0,0.0,0.0,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0
FOXM1,"NM_021953, NM_202002, NM_202003, ",1.181,18.738,13.849,28.088,12.826,23.696,22.809,20.335,36.201,14.389,24.975
GRAMD2,"NM_001012642, ",0.805,1.659,1.209,1.312,0.139,0.0,0.343,6.46,14.337,0.0,0.008
LOC649395,"NR_029404, ",0.0,0.0,0.0,0.188,2.029,3.487,0.615,0.017,0.558,0.012,0.004
ZBTB48,"NM_005341, ",0.184,2.738,1.591,3.311,1.012,2.382,0.915,2.732,1.434,4.194,7.331
BUD31,"NM_003910, ",9.042,10.822,11.091,13.768,203.087,177.745,118.865,137.755,67.688,94.097,113.824
FAM174A,"NM_198507, ",10.337,3.901,1.34,1.683,3.45,6.136,4.753,11.688,0.0,10.826,3.76
PABPC5,"NM_080832, ",0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.066,0.101
CCDC41,"NM_001042399, NM_016122, ",5.572,10.012,5.677,6.318,8.679,5.58,2.242,0.188,6.059,6.291,4.437
FBXO11,"NM_001190274, NM_025133, ",7.285,18.832,18.993,14.975,7.784,5.788,12.296,4.419,6.157,6.09,6.08
PSMG4,"NM_001128591, NM_001128592, NM_001135750, ",35.551,21.059,18.256,20.705,15.393,6.235,9.547,25.159,27.629,29.283,29.172
RFXAP,"NM_000538, ",0.0,0.095,0.041,0.0,0.689,0.112,1.58,2.865,3.168,1.303,4.389
C6orf15,"NM_014070, NM_014070, NM_014070, NM_014070, NM_014070, NM_014070, ",0.0,0.0,0.0,0.0,0.734,0.121,0.0,0.025,0.0,0.0,0.0
CDK8,"NM_001260, ",14.39,16.567,9.482,17.103,14.642,7.998,9.06,7.583,0.09,4.888,4.866
C6orf70,"NM_018341, ",28.233,9.496,8.053,21.73,8.457,4.311,2.438,6.551,2.419,1.677,2.678
MIR181B2,"NR_029782, ",0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0
ALG2,"NM_033087, NR_024532, ",10.598,5.922,3.257,3.648,26.08,18.91,10.352,8.527,14.775,14.498,8.648
PPP1R3D,"NM_006242, ",61.929,70.423,45.646,23.033,0.884,0.018,0.234,0.0,0.0,0.025,0.457
TPM3,"NM_001043351, NM_001043352, NM_001043353, NM_152263, NM_153649, ",23.813,19.375,17.062,25.59,120.678,111.118,180.698,159.276,160.843,78.303,102.413
SYT13,"NM_020826, ",0.0,0.0,0.0,0.631,0.0,0.019,0.186,4.926,3.581,4.137,1.821
EPB42,"NM_000119, NM_001114134, ",0.0,0.063,0.113,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC100286938,"NR_026668, ",0.413,0.468,0.241,0.064,0.098,0.03,0.0,0.0,0.033,0.089,0.208
CETN3,"NM_004365, ",68.333,86.366,48.289,8.608,3.001,10.176,25.543,28.818,8.986,25.706,13.968
LOC100302401,"NR_027982, ",0.0,0.08,0.151,0.159,0.048,0.166,0.016,0.0,0.0,0.773,0.498
CDK1,"NM_001170406, NM_001170407, NM_001786, NM_033379, ",5.516,33.604,16.825,49.785,153.674,135.75,117.164,48.241,120.734,58.664,51.604
LOC401463,"NR_015374, ",0.0,0.0,0.023,0.0,0.218,0.0,0.0,0.0,0.021,0.0,0.0
NTHL1,"NM_002528, ",15.149,5.762,5.115,13.116,16.389,18.703,18.26,48.357,20.045,52.839,74.236
POLR2B,"NM_000938, ",3.956,1.736,0.937,3.105,41.504,35.073,28.806,19.31,22.719,34.162,22.721
RPS28,"NM_001031, ",291.628,429.119,935.515,1087.15,1569.997,644.805,433.116,2321.447,911.449,840.883,1104.694
RPL18AP3,"NR_001593, ",378.297,255.374,232.256,578.291,713.141,848.363,1231.883,2782.458,1507.623,1904.806,2677.643
FAM75A3,"NM_001083124, ",0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.024
C14orf184,"NM_001080113, ",0.554,0.411,0.808,1.205,0.203,0.044,0.0,0.0,0.022,0.071,0.066
P2RX3,"NM_002559, ",0.0,0.0,0.0,0.0,0.031,0.039,0.0,0.0,0.0,0.032,0.0
LYZL4,"NM_144634, ",0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
WBP4,"NM_007187, ",77.934,75.814,34.607,13.701,13.708,29.731,15.338,26.087,19.08,16.807,23.198
PMM1,"NM_002676, ",71.446,28.51,21.586,47.256,126.939,74.996,8.77,2.549,10.444,2.458,16.244
CBLL1,"NM_024814, NR_024199, ",28.99,14.807,13.803,11.648,29.022,19.163,6.902,1.313,6.152,5.048,4.23
VAX2,"NM_012476, ",0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETDB1,"NM_001145415, NM_012432, NR_026977, ",3.46,16.046,11.565,16.603,2.59,2.099,3.867,5.097,2.352,3.78,4.595
SNORA2A,"NR_002950, ",0.0,0.365,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCLM,"NM_002061, ",31.775,18.566,9.584,4.939,1.29,3.179,22.747,29.576,38.944,15.152,13.986
CPEB3,"NM_001178137, NM_014912, ",4.036,2.425,1.184,2.797,1.846,3.019,1.692,0.075,0.0,1.33,0.32
PPM1A,"NM_021003, NM_177951, NM_177952, ",15.253,10.469,6.854,9.402,18.078,12.056,5.044,3.432,5.317,5.749,1.887
INTS1,"NM_001080453, ",0.15,0.802,0.68,1.04,5.085,4.583,5.448,4.801,10.474,8.249,8.772
CAMTA1,"NM_015215, ",8.53,5.492,2.622,1.77,1.801,1.208,1.159,1.315,0.964,2.884,3.083
GOLGA8C,"NR_027411, ",0.114,0.262,0.149,0.433,0.115,0.178,0.006,0.0,0.0,0.0,0.0
SAMSN1,"NM_022136, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0
FAM198A,"NM_001129908, ",0.0,0.0,0.066,0.106,0.636,0.747,0.0,0.104,0.0,0.892,2.743
GMPPA,"NM_013335, NM_205847, ",1.525,7.335,3.439,8.968,2.171,4.213,6.729,4.032,8.729,15.569,21.013
AIPL1,"NM_001033054, NM_001033055, NM_014336, ",0.781,0.317,0.522,0.844,0.516,0.815,1.553,0.129,0.335,0.898,0.629
FAM82A2,"NM_018145, ",15.677,43.527,39.406,22.087,23.42,22.396,23.769,8.299,11.421,13.972,14.198
IL24,"NM_001185156, NM_001185157, NM_001185158, NM_006850, ",0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDKRB1,"NM_000710, ",0.0,0.0,0.028,0.028,0.404,0.0,0.0,0.0,0.0,0.0,0.0
MLF1,"NM_001130156, NM_001130157, NM_022443, ",25.659,38.576,39.701,37.049,63.057,58.828,6.366,1.322,0.137,20.518,10.035
THADA,"NM_001083953, NM_022065, ",1.226,2.388,1.419,2.525,2.666,1.614,3.683,1.573,7.664,2.364,3.291
TAF12,"NM_001135218, NM_005644, ",146.063,76.913,72.27,88.075,98.871,183.453,65.739,50.533,25.863,37.675,27.47
ID1,"NM_002165, NM_181353, ",1.114,0.148,0.077,2.048,13.293,26.443,12.417,13.478,24.45,268.418,121.732
PIK3CB,"NM_006219, ",2.263,2.059,1.17,1.937,8.413,10.278,7.9,2.348,9.121,2.66,1.796
LOC286238,"NM_001100111, ",0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D17,"NM_001168222, NM_024682, ",0.237,0.842,0.587,0.98,4.518,4.426,0.647,1.582,0.185,0.976,3.039
COX8A,"NM_004074, ",92.425,33.114,40.865,56.089,86.063,93.189,194.597,860.846,392.403,354.692,622.913
RBMY2EP,"NR_001574, ",0.0,0.0,0.0,0.0,0.045,3.918,0.016,0.0,0.0,0.0,0.0
CDCA4,"NM_017955, NM_145701, ",12.333,30.369,15.062,11.79,35.497,26.743,21.08,29.631,27.753,24.348,23.144
C2orf44,"NM_001142319, NM_025203, ",18.623,34.168,26.137,35.405,15.093,9.771,1.806,1.717,5.844,5.969,5.333
ZNF534,"NM_001143938, NM_001143939, ",13.849,6.43,5.063,7.143,20.495,64.14,15.942,3.454,16.267,29.621,0.004
IMMP1L,"NM_144981, ",33.754,12.309,7.055,10.822,6.748,12.632,15.638,13.796,3.214,7.06,8.128
FTMT,"NM_177478, ",0.641,0.267,0.674,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIPSNAP3B,"NM_018376, ",0.069,0.184,0.0,0.048,0.0,0.066,0.0,0.0,1.059,0.025,0.433
MMP15,"NM_002428, ",0.0,0.041,0.021,0.026,0.418,0.877,0.056,0.324,1.334,1.082,2.131
PWP2,"NM_005049, ",3.24,13.505,5.662,12.468,26.426,15.584,20.496,29.961,6.902,16.257,15.924
C2orf86,"NM_001042692, NM_015910, ",1.296,2.091,1.113,3.309,0.368,0.594,1.464,2.73,0.0,3.35,2.678
DNAH11,"NM_003777, ",50.353,24.012,24.652,17.846,3.562,3.021,0.047,0.413,0.0,2.077,1.639
DNAL4,"NM_005740, ",80.588,37.845,31.079,27.238,8.345,7.664,2.163,8.151,0.555,2.28,2.454
MTMR14,"NM_001077525, NM_001077526, NM_022485, ",3.806,18.573,8.712,13.461,99.294,200.223,12.109,17.905,81.05,27.527,26.913
IPP,"NM_001145349, NM_005897, ",3.362,2.788,2.102,1.187,2.197,5.4,6.026,5.388,6.753,1.84,0.843
TMEM59,"NM_004872, ",130.568,97.904,115.129,97.097,105.001,66.056,69.722,60.732,73.136,62.909,55.064
C1orf157,"NR_027902, ",0.0,0.0,0.0,0.148,0.162,0.104,0.0,0.0,0.0,0.0,0.0
RGS4,"NM_001102445, NM_001113380, NM_001113381, NM_005613, ",0.057,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.547,0.004
SNX6,"NM_021249, NM_152233, ",57.621,46.353,38.449,27.319,44.994,61.005,119.636,135.146,117.894,28.504,31.847
DDX18,"NM_006773, ",37.457,68.443,45.882,22.356,44.538,42.704,72.504,52.592,48.693,45.473,49.784
ZNHIT2,"NM_014205, ",0.318,1.967,0.586,1.256,5.559,7.45,0.394,4.493,0.0,15.191,7.878
NCDN,"NM_001014839, NM_001014841, NM_014284, ",0.895,0.967,0.913,1.59,0.906,1.127,1.473,2.447,1.067,4.518,4.888
RAG1,"NM_000448, ",0.058,0.0,0.0,0.018,0.1,0.189,0.023,0.0,0.0,0.254,0.035
TMEM104,"NM_017728, ",0.467,1.217,0.897,0.663,1.156,2.543,1.353,0.505,7.365,0.282,2.878
OR4D10,"NM_001004705, ",0.266,0.217,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POMT1,"NM_001077365, NM_001077366, NM_001136113, NM_001136114, NM_007171, ",2.34,3.168,1.808,2.57,1.22,0.785,4.801,4.17,3.198,1.227,2.794
PTPN5,"NM_001039970, NM_006906, NM_032781, ",1.097,4.939,5.053,5.642,1.125,0.432,0.0,2.133,0.0,0.086,0.152
CYP1A1,"NM_000499, ",0.0,0.0,0.0,0.28,0.413,6.062,0.0,0.728,53.569,0.082,0.0
LRRC8A,"NM_001127244, NM_001127245, NM_019594, ",50.57,36.114,23.734,34.481,20.754,9.348,9.616,6.564,6.321,17.006,24.133
OGFOD2,"NM_024623, ",0.418,0.463,0.641,0.679,13.209,13.306,4.917,2.578,1.94,4.685,10.78
ARSH,"NM_001011719, ",0.0,0.054,0.0,0.079,0.228,0.0,0.0,0.0,0.0,0.0,0.0
CAPN1,"NM_005186, ",0.433,0.832,1.525,2.914,0.799,1.547,22.217,18.696,11.96,25.069,31.483
NME1-NME2,"NM_001018136, ",10.403,9.025,15.063,36.714,33.129,57.426,160.797,230.543,170.567,147.133,207.365
DDHD2,"NM_001164232, NM_001164234, NM_015214, ",2.288,5.523,3.59,5.253,2.288,0.845,3.931,2.94,0.172,1.462,0.985
AKR1B15,"NM_001080538, ",0.0,0.0,0.017,0.582,0.243,0.045,0.0,0.0,0.0,0.0,0.045
GRIK2,"NM_001166247, NM_021956, NM_175768, ",6.904,4.093,2.489,5.869,0.542,0.059,0.0,0.0,0.0,0.0,0.0
GNRHR,"NM_000406, NM_001012763, ",0.0,0.0,0.0,0.0,0.0,0.018,0.134,0.0,0.0,0.0,0.02
HTR3A,"NM_000869, NM_001161772, NM_213621, ",0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.728,3.297
ZBED1,"NM_001171135, NM_001171135, NM_001171136, NM_001171136, NM_004729, NM_004729, ",1.151,1.621,1.121,1.396,0.898,1.553,6.638,4.322,21.394,11.214,17.747
C20orf118,"NM_080628, ",6.603,4.265,2.507,6.604,0.983,0.452,0.606,0.63,1.099,0.988,0.478
SLITRK4,"NM_001184749, NM_001184750, NM_173078, ",4.674,22.589,33.059,21.945,9.199,29.478,26.887,13.731,24.679,19.753,13.535
ANKRD49,"NM_017704, ",3.355,13.628,7.814,6.952,6.314,6.851,12.162,3.209,10.753,11.109,10.066
BTF3,"NM_001037637, NM_001207, ",479.532,362.89,502.565,746.046,688.159,634.291,883.171,1212.997,853.461,1018.125,1223.413
TDRG1,"NR_024015, ",0.0,0.0,0.0,2.527,8.615,4.825,0.0,0.0,0.0,2.943,2.962
SARS,"NM_006513, NR_034072, NR_034073, ",4.537,16.157,16.289,26.557,52.701,85.149,58.326,58.617,54.234,25.859,51.517
C13orf18,"NM_025113, ",0.0,0.0,0.0,0.0,0.475,0.858,0.0,0.0,0.0,0.12,0.452
CACNB1,"NM_000723, NM_199247, NM_199248, ",0.0,0.21,0.071,0.228,0.594,0.511,0.0,0.0,0.0,0.413,0.435
SETMAR,"NM_006515, NR_024022, ",0.641,0.551,0.507,1.5,6.79,6.183,12.619,11.473,14.601,6.568,10.052
GAGE2B,"NM_001098411, ",0.0,0.0,0.0,0.181,1.154,1.086,0.041,10.39,0.135,0.0,0.005
KDM6A,"NM_021140, ",32.941,24.057,16.258,11.708,3.836,2.448,3.126,0.566,3.028,4.384,6.959
QKI,"NM_006775, NM_206853, NM_206854, NM_206855, ",27.265,29.197,17.254,8.452,4.947,3.643,19.507,8.489,11.456,8.018,9.17
EML3,"NM_153265, ",0.038,0.195,0.159,0.151,0.043,0.007,0.288,0.0,0.04,0.335,0.203
MAN2B1,"NM_000528, NM_001173498, ",0.129,0.284,0.28,1.29,0.345,0.104,1.515,2.4,1.273,4.054,4.533
ACADL,"NM_001608, ",0.0,0.0,0.022,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.023
OFD1,"NM_003611, ",364.423,458.354,390.498,154.969,40.447,35.37,14.506,15.236,12.183,6.555,18.826
CGA,"NM_000735, ",2.715,0.514,0.831,0.264,1.044,0.0,0.0,0.0,0.0,0.0,0.394
MIR935,"NR_030632, ",0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0
KDM4B,"NM_015015, ",2.242,0.909,1.155,1.152,0.427,0.396,2.112,1.013,14.429,2.583,5.568
LRRC10,"NM_201550, ",0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0
PEX16,"NM_004813, NM_057174, ",1.299,0.929,0.696,2.542,1.835,6.499,21.156,15.981,14.011,4.117,14.597
GNG12,"NM_018841, ",65.564,67.651,73.08,56.645,11.306,6.667,0.835,0.995,4.722,3.486,6.595
C1orf152,"NR_003242, ",0.0,0.0,0.0,0.0,1.071,2.899,0.147,0.0,0.0,0.0,1.126
CHRM1,"NM_000738, ",0.0,0.0,0.0,0.133,0.025,0.027,0.0,0.0,0.0,0.0,0.203
UBN2,"NM_173569, ",2.37,4.737,3.481,4.433,6.136,5.486,2.686,0.161,4.55,7.0,2.871
CDC14C,"NR_003595, ",0.0,0.0,0.0,0.141,0.238,0.268,0.087,0.0,0.46,0.365,0.202
CD53,"NM_000560, NM_001040033, ",0.0,0.0,0.0,0.094,1.93,5.548,231.753,241.788,75.067,2.636,1.257
DBH,"NM_000787, ",0.332,0.765,0.735,2.031,0.981,0.0,0.0,0.0,0.0,0.0,0.0
TFAP2B,"NM_003221, ",24.743,17.708,10.319,6.712,1.376,0.116,0.0,0.216,0.0,0.0,0.183
HIST1H2BJ,"NM_021058, ",0.755,9.53,4.626,17.005,27.127,22.31,1.873,3.152,0.503,3.28,3.626
FAM46D,"NM_001170574, NM_152630, ",0.611,0.713,0.577,0.211,0.36,0.031,0.584,0.0,0.0,0.0,0.0
TMEM11,"NM_003876, NR_024547, ",8.268,32.138,36.591,47.615,52.542,50.131,13.619,17.534,21.137,20.926,30.906
UQCRHL,"NM_001089591, ",2.577,1.883,2.611,4.359,21.426,41.037,100.977,132.504,205.278,101.054,87.107
C3orf32,"NM_015931, ",0.039,0.577,0.089,0.621,0.011,0.229,0.579,0.26,0.0,0.0,0.072
IPO13,"NM_014652, ",1.111,7.479,5.262,10.904,3.207,4.022,3.441,1.73,0.492,2.193,4.288
PCCB,"NM_000532, NM_001178014, ",24.067,64.457,59.524,44.039,16.884,11.845,36.96,35.176,27.782,33.582,35.603
NCRNA00239,"NR_026774, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC388946,"NM_001145051, ",0.185,0.262,0.139,0.0,0.353,0.741,0.0,0.0,0.0,0.0,0.0
C6orf105,"NM_001143948, NM_032744, ",3.5,4.999,2.828,9.977,1.925,0.786,14.353,11.922,0.886,0.0,0.0
COMMD5,"NM_001081003, NM_001081004, NM_014066, ",8.298,3.032,2.139,3.126,8.515,14.287,8.227,21.333,6.309,40.647,42.869
SUV420H1,"NM_016028, NM_017635, ",7.377,6.185,2.399,2.544,19.479,12.82,12.081,1.102,5.801,24.111,18.535
ARHGAP15,"NM_018460, ",6.62,7.086,4.964,16.473,2.473,0.276,0.032,0.0,0.0,0.0,0.018
HDHD2,"NM_032124, ",4.417,5.988,4.038,3.3,5.22,4.901,5.117,1.053,0.884,12.993,15.002
LOC100306975,"NR_036507, ",0.276,0.307,0.136,0.125,0.34,2.707,0.048,0.0,0.0,0.191,0.021
LTBR,"NM_002342, ",0.0,0.0,0.0,0.0,0.271,0.055,0.324,3.767,2.455,0.449,0.889
TDRKH,"NM_001083963, NM_001083964, NM_001083965, NM_006862, ",3.224,4.207,2.441,3.178,2.661,2.418,4.504,0.726,1.982,1.54,3.345
HSPC157,"NR_023918, NR_023919, ",16.289,8.151,6.537,2.116,13.798,12.308,0.429,0.0,0.712,4.814,7.484
IGDCC3,"NM_004884, ",64.049,23.299,17.465,15.027,5.27,3.082,10.083,9.32,0.34,7.553,13.406
LOC401052,"NM_001008737, ",4.583,3.091,2.574,1.53,8.451,8.192,7.124,0.93,2.332,7.268,6.946
PSG4,"NM_002780, NM_213633, ",0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0
ANKLE2,"NM_015114, ",9.564,14.621,10.531,10.676,2.891,2.573,8.912,14.021,15.366,8.982,11.653
GNB4,"NM_021629, ",10.19,14.297,10.007,13.275,6.043,7.254,2.279,0.274,1.814,2.759,5.611
SPATA4,"NM_144644, ",1.559,1.294,0.977,2.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC9A3,"NM_004174, ",1.0,1.946,0.972,3.194,0.818,0.603,0.378,0.0,0.0,0.144,0.025
NBPF3,"NM_032264, ",3.79,2.652,1.685,3.238,1.516,1.317,1.253,0.505,0.235,0.212,0.998
OSBP,"NM_002556, ",15.917,72.202,62.447,69.153,28.766,6.567,11.404,8.413,10.072,12.09,11.094
SLC39A5,"NM_001135195, NM_173596, ",0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.219,1.063,0.085,0.0
DOCK11,"NM_144658, ",0.5,0.589,0.466,1.714,0.838,0.435,0.0,0.0,1.281,0.785,1.173
PRR5,"NM_001017528, NM_001017529, NM_001017530, NM_015366, NM_181333, ",1.407,11.991,10.312,9.709,4.364,6.354,22.811,21.014,4.294,3.977,5.341
RPRD1B,"NM_021215, ",0.219,0.511,0.264,0.246,27.692,14.077,3.515,3.715,3.047,7.488,5.226
SPRR2B,"NM_001017418, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMTNL2,"NM_001114974, NM_198501, ",0.0,0.0,0.0,0.259,0.008,0.0,1.315,1.652,0.0,1.566,1.907
ADRA1A,"NM_000680, NM_033302, NM_033303, NM_033304, ",0.319,0.231,0.259,0.263,0.507,1.181,0.6,0.274,0.555,0.436,0.919
ASAH1,"NM_001127505, NM_004315, NM_177924, ",26.592,22.271,16.197,18.083,5.275,2.107,71.657,36.712,11.365,19.493,11.782
OVCA2,"NM_080822, ",0.359,0.32,0.376,1.013,7.646,21.537,24.148,34.923,18.257,23.06,22.339
DOM3Z,"NM_005510, NM_005510, NM_005510, NM_005510, NM_005510, NM_005510, ",2.133,1.335,0.582,1.188,1.217,1.903,3.769,8.229,2.744,5.947,3.256
LOC100129858,"NR_033939, ",0.0,0.0,0.0,0.072,0.0,0.063,0.019,0.0,0.039,0.013,0.018
GIPR,"NM_000164, ",0.0,0.0,0.0,0.0,0.11,0.068,0.076,0.0,0.0,0.0,0.0
AHI1,"NM_001134830, NM_001134831, NM_001134832, NM_017651, ",7.081,7.643,3.015,4.026,3.936,3.932,2.108,0.479,0.498,3.514,10.094
GORAB,"NM_001146039, NM_152281, NR_027397, ",4.068,3.976,1.482,3.99,2.841,6.623,2.446,0.068,8.183,3.955,3.583
NADSYN1,"NM_018161, ",1.708,2.917,1.838,4.11,2.295,2.451,4.868,3.87,5.5,4.978,10.0
RGS14,"NM_006480, ",1.154,2.866,3.08,8.534,1.972,3.242,0.52,1.336,0.102,11.22,2.303
IL18BP,"NM_001039659, NM_001039660, NM_001145055, NM_001145057, NM_173042, ",0.0,0.181,0.189,0.106,0.419,1.104,0.006,0.0,0.0,0.053,0.177
FAM175A,"NM_139076, ",6.982,6.199,6.401,15.763,7.067,15.17,16.495,36.774,26.086,11.32,17.623
RTN4RL1,"NM_178568, ",0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.009
ARMC6,"NM_033415, ",2.141,9.444,5.6,13.08,20.993,27.666,18.644,51.272,25.23,39.801,50.415
HK3,"NM_002115, ",0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0
PSMD5,"NM_005047, ",3.856,6.704,2.276,2.317,1.019,0.997,7.579,13.374,3.155,15.777,6.815
RSU1,"NM_012425, NM_152724, ",36.298,24.833,17.987,29.859,4.438,4.004,9.586,18.589,22.504,18.369,16.177
LOC728758,"NR_003571, ",0.236,1.013,0.856,1.179,0.263,1.922,0.249,0.0,0.345,0.083,0.249
MAD2L1,"NM_002358, ",181.407,259.985,326.714,304.228,194.005,136.544,182.614,104.552,64.04,176.648,131.448
EIF4A3,"NM_014740, ",3.253,2.806,1.959,17.047,676.14,192.722,101.356,66.706,107.331,121.08,68.349
DLEC1,"NM_007335, NM_007337, ",0.216,1.157,0.479,1.389,0.731,1.068,0.0,0.0,0.0,0.034,0.0
E4F1,"NM_004424, ",0.553,1.639,1.576,2.398,41.914,33.88,4.811,11.805,19.892,8.925,14.479
C16orf62,"NM_020314, ",22.001,14.0,13.416,17.538,4.955,3.981,7.345,8.749,9.822,19.976,15.664
CHMP2B,"NM_014043, ",62.426,57.802,40.5,43.008,15.07,21.607,38.255,35.011,16.863,35.667,32.367
RPS21,"NM_001024, ",258.069,631.573,1488.815,1352.748,1779.034,714.765,288.379,1792.712,764.711,660.136,982.794
ACO2,"NM_001098, ",2.343,6.787,4.729,17.525,10.071,10.137,15.838,36.83,8.774,8.755,13.519
CAMSAP1,"NM_015447, ",38.975,35.881,24.746,27.036,7.115,3.801,3.319,4.042,4.351,9.631,6.225
ARID5A,"NM_212481, ",0.193,2.544,2.129,4.812,1.687,2.569,0.056,19.767,0.226,4.783,2.655
UBE2N,"NM_003348, ",44.544,60.836,42.805,37.303,27.78,30.852,63.854,61.54,42.17,77.486,56.911
C7orf60,"NM_152556, ",9.244,10.09,9.507,8.955,4.67,0.919,0.057,0.875,0.967,0.814,0.524
IGSF8,"NM_052868, ",0.053,0.0,0.0,0.0,0.261,0.448,0.022,6.369,0.0,5.494,9.411
MAGEB6,"NM_173523, ",0.0,0.0,0.0,1.182,0.007,0.0,0.0,0.0,0.0,0.0,0.0
ACAD11,"NM_032169, ",51.549,24.813,21.27,34.928,6.464,2.199,0.161,0.043,0.0,4.92,3.696
LMO4,"NM_006769, ",10.501,7.203,4.722,4.955,8.741,4.715,9.056,10.252,6.435,9.041,6.321
KLKB1,"NM_000892, ",0.169,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.206,3.034,8.915
SCHIP1,"NM_014575, ",0.0,0.0,0.0,0.476,7.864,5.915,1.493,5.437,6.795,10.682,8.921
HDAC3,"NM_003883, ",33.646,29.441,20.3,25.38,16.323,18.995,22.922,20.717,18.814,47.065,46.482
HP,"NM_001126102, NM_005143, ",0.0,0.0,0.0,0.032,0.161,0.0,0.0,0.0,0.0,0.033,0.029
